Utility Name,Fire Start Date,Fire Start Time,Fire Latitude,Fire Longitude,Materials at Origin,Land Use at Origin,Fire Size,Fire Suppressed by,Fire Supressing Agency,Facility Identification,Facility Contacted,Other Companies,Nominal Voltage,Equipment Type Associated to Ignition,Type Of Construction,Outage,Outage Date,Outage Time,Suspected Initiating Event,Equipment Facility Failure,Contact From Object,Facility Contacted,Contributing Factor,
PG&E,12/22/2020,13:00.0,38.0739,-122.224,Vegetation,Urban,<0.25,Fire Agency,Vallejo FD,103163440,,,12000,Conductor - Primary,Overhead,Yes,12/22/2020,46:00.0,Equipment - PG&E,Conductor - Primary,,,Conductor failure-all,
PG&E,12/7/2020,52:00.0,35.1536,-120.632,Vegetation,Herbaceous,0.26-9.99,Fire Agency,Cal Fire SLO,Circuit ID: 182631104,,,12000,Jumper,Overhead,Yes,12/7/2020,46:00.0,Wire-Wire Contact,,,,Weather - High Winds,
PG&E,12/7/2020,10:00.0,37.0705,-121.977,Vegetation,Hardwood Woodland,0.26-9.99,Fire Agency,Cal Fire Felton,"Circuit ID: 083622106, SAP ID: 101799700",Conductor - Primary,,12000,Conductor - Primary,Overhead,Yes,12/7/2020,01:00.0,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,11/30/2020,53:00.0,36.5647,-121.912,Vegetation,Conifer Forest,<0.25,Fire Agency,Cal Fire,Circuit ID: 182291101; Between riser 1463 and cutout J-71,,,12000,Conductor - Primary,Underground,Yes,11/30/2020,,Equipment - PG&E,Conductor - Primary,,,Conductor failure-all,
PG&E,11/17/2020,04:00.0,35.7181,-119.589,,Wetland,<3 meters of linear travel,Self Extinguished,Self Extinguished,100171496,,,12000,Pole,Overhead,Yes,11/17/2020,51:00.0,Equipment - PG&E,Pole,,,Pole failure,
PG&E,11/13/2020,18:00.0,38.2105,-122.138,,Urban,Unknown,Self Extinguished,Self Extinguished,63801102,,,12000,Pothead,Overhead,Yes,11/13/2020,06:00.0,Equipment - PG&E,Pothead,,,Insulator failure,
PG&E,11/10/2020,36:00.0,39.2165,-122.016,,Urban,Unknown,Unknown,Unknown,62021101,,,12000,Jumper,Overhead,No,,,Utility work / Operation,,,,Splice/Clamp/Connector,
PG&E,11/7/2020,35:00.0,36.8754,-120.101,,Agriculture,Unknown,Unknown,Unknown,101124349,,,12000,Pole,Overhead,Yes,11/7/2020,20:00.0,Equipment - PG&E,Pole,,,Pole failure,
PG&E,10/31/2020,23:00.0,37.6799,-121.906,,Urban,<0.25,Unknown,Unknown,100953498,,,21000,Riser,Underground,Yes,10/31/2020,22:00.0,Equipment - PG&E,Riser,,,Riser Failure,
PG&E,10/31/2020,23:00.0,40.1809,-122.255,Vegetation,Urban,Unknown,Fire Agency,Cal Fire,Meter: 1008361055,Service Drop,,750,Service Drop,Overhead,No,,,Vegetation,,Veg. contact,Electric Facility,Contact - Vegetation,
PG&E,10/30/2020,07:00.0,36.2994,-121.216,Vegetation,Barren/Other,<0.25,Fire Agency,Greenfield FD,Pole ID: 101765306,Pole,,21000,Pole,Overhead,Yes,10/30/2020,51:00.0,Contact - 3rd Party,,Contact - Vehicle,Pole,Contact - Vehicle,
